index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
3939,1,petta,karthik subbaraj,"rajnikanth, vijay sethupathi, m. sasikumar, nawazuddin siddiqui, trisha krishnan, simran",india,2019,tv 14,170,"action adventure, comedies, dramas","an affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past.",1
3940,0,quicksand,nan,"hanna ardehn, felix sandman, william spetz, ella rappich, david dencik, reuben sallmander, maria sundbom, rebecka hemse, arvid sand, helena af sandeberg, anna bjork",sweden,2019,tv ma,1,"crime tv shows, international tv shows, tv dramas","after a tragedy at a school sends shock waves through a wealthy stockholm suburb, a seemingly well adjusted teen finds herself on trial for murder.",1
3941,0,rimba racer,nan,"steven tan, iain mcnally, chi ren choong, kevin adrian barnaby, tikriti shabudin, sherilyn pang li ching, azman zulkiply",malaysia,2017,tv pg,1,kids tv,"in this animated action series, a rookie driver seeks glory in a world class auto race, but hell need more than just his talent behind the wheel.",1
3942,0,roman empire reign of blood,nan,"sean bean, aaron jakubenko, edwin wright, mike edward, genevieve aitken, john bach, tai berdinner blades, jared turner, andrew foster, calum gittins, shane bartle, ella becroft, lisa chappell, emma fenton, phil brown, carl bland, adam gardiner","canada, united states",2019,tv ma,3,docuseries,"this stylish mix of documentary and historical epic chronicles the reign of commodus, the emperor whose rule marked the beginning of rome s fall.",3
3944,0,tijuana,nan,"damian alcazar, tamara vallarta, rolf petersen, claudette maille, tete espinoza, ivan aragon, martha claudia moreno, eden villavicencio, carlos corona, giancarlo ruiz, mayra batalla, rodrigo abed, roberto mateos, anabel ferreira, roberto sosa",mexico,2019,tv ma,1,"crime tv shows, international tv shows, spanish language tv shows","when a prominent politician is murdered, the intrepid journalists of frente tijuana risk their lives to uncover the truth.",1
3945,1,unicorn store,brie larson,"brie larson, samuel l. jackson, joan cusack, bradley whitford, mamoudou athie, hamish linklater, martha macisaac, karan soni, annaleigh ashford",united states,2019,tv 14,92,"comedies, dramas, independent movies","after failing out of art school and taking a humdrum office job, a whimsical painter gets a chance to fulfill her lifelong dream of adopting a unicorn.",2
3946,0,possessed,nan,"song sae byeok, go joon hee, youn jung hoon, jo han sun, lee won jong, park gene woo, kwon hyuk hyun, park sang min",south korea,2019,tv ma,1,"crime tv shows, international tv shows, korean tv shows",a reluctant clairvoyant joins forces with a brusque police detective hiding a soft heart to help him solve criminal cases using her psychic abilities.,2
3947,1,ricardo quevedo los amargados somos mas,fernando ayllon,ricardo quevedo,nan,2019,tv ma,59,stand up comedy,"from how social media can ruin relationships to the perils of buying a gift for a woman, comic ricardo quevedo dissects life s trials and tribulations.",1
3948,1,suzzanna buried alive,"rocky soraya, anggy umbara","luna maya, herjunot ali, teuku rifnu wikana, verdi solaiman, alex abbad",indonesia,2018,tv ma,126,"horror movies, international movies","after a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good.",1
3949,0,tango,nan,"bassel khayyat, daniella rahme, bassam moughneih, dana mardini, youssef haddad, talal jarday, sameera barody",lebanon,2018,tv 14,1,"international tv shows, romantic tv shows, tv dramas",shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.,1
3950,1,ek ladki ko dekha toh aisa laga,shelly chopra dhar,"anil kapoor, sonam kapoor, rajkummar rao, juhi chawla, abhishek duhan, regina cassandra, madhumalti kapoor, seema pahwa, brijendra kala, alka badola kaushal",india,2019,tv 14,120,"comedies, dramas, international movies","as her family seeks to marry her off and a hopeful writer pursues her, a small town woman struggles to reveal the long hidden truth about who she loves.",1
3951,1,jagat,shanjey kumar perumal,"harvind raj, jibrail rajhula, tinesh sarathi krishnan, kuben mahadevan, senthil kumaran muniandy",malaysia,2015,tv ma,76,"dramas, international movies","in early 1990s malaysia, a tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles lives of crime.",1
3952,1,kevin hart irresponsible,leslie small,kevin hart,united states,2019,tv ma,60,stand up comedy,"as a father of three on his second marriage, kevin hart proves that being him is indeed a tall order in a fresh special inspired by his own mistakes.",2
3954,1,love o2o,tianyu zhao,"jing boran, angelababy, yu bai, li qin, li xian, seven tan, janice wu, jayden wang, cheng yi, li jiuxiao",china,2016,tv 14,103,"international movies, romantic movies, sci fi fantasy",a college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role playing game.,1
3955,1,pinky memsaab,shazia ali khan,"hajira yamin, kiran malik, adnan jaffar, sunny hinduja, khalid ahmed, shamim hilaly, hajrah khan, ahmed ali khan","pakistan, united arab emirates",2018,tv ma,124,"dramas, independent movies, international movies","when a guileless young woman becomes the domestic worker in a wealthy dubai household, her bond with her posh employer changes both of their lives.",3
3956,0,"that winter, the wind blows",nan,"zo in sung, song hye kyo, kim bum, jung eun ji, bae jong ok, young hoon kim",south korea,2013,tv ma,1,"international tv shows, korean tv shows, romantic tv shows","seeing the chance to enrich himself by deceiving a blind heiress, clever con man oh soo just does what comes naturally but his plans soon change.",2
3957,1,the trap,erik white,"t.i., mike epps, loretta devine, queen latifah, teyana taylor, meagan tandy, stephen bishop, roland powell, joel rush",united states,2017,tv ma,91,comedies,a man returns home to atlanta to try and turn around his family s struggling restaurant with the help of a new chicken recipe.,2
3958,0,ultraman,nan,"ryohei kimura, takuya eguchi, megumi han, hideyuki tanaka, sumire morohoshi, ken uo, shigeru ushiyama, ryota takeuchi, eiji hanawa, hirokazu sekido, minoru shiraishi, kenjiro tsuda, hiroaki hirata, kaiji soze","united states, japan",2019,tv 14,1,"anime series, international tv shows","decades ago, a hero from the stars left this world in peace. now, the son of ultraman must rise to protect the earth from a new alien threat.",3
3959,1,mercy black,owen egerton,"daniella pineda, elle lamont, janeane garofalo, miles emmons, lee eddy, austin amelio, elke boucher depew, dylan gage, troy anthony hogan, jamy lentz",united states,2019,tv 14,88,horror movies,"fifteen years after a traumatic crime, a woman is released from psychiatric care and tries to drive out an evil spirit that continues to haunt her.",2
3960,1,the burial of kojo,sam blitz bazawule,"cynthia dankwa, ama k. abebrese, joseph otsiman, kobina amissah sam, mamley djangmah, henry adofo, anima misa, brian angels","ghana, united states",2018,tv 14,81,"dramas, independent movies, international movies","when a man is left to die inside an illegal gold mine, his daughter travels through a magical landscape to save him.",3
3962,1,15 august,swapnaneel jayakar,"rahul pethe, mrunmayee deshpande, adinath kothare, vaibhav mangale, jaywant wadkar, satish pulekar, naina apte, uday tikekar",india,2019,tv 14,124,"comedies, dramas, independent movies","on india s independence day, a zany mishap in a mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",1
3963,1,bayonet,kyzza terrazas,"luis gerardo mendez, brontis jodorowsky, joonas saartamo, laura birn, ilkka koivula, ville virtanen, raul villegas, miriam balderas, ximena guzman","mexico, finland",2019,tv ma,102,"dramas, international movies, sports movies","alone in finland, a retired mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring.",2
3964,0,osmosis,nan,"agathe bonitzer, hugo becker, gael kamilindi, manoel dupont, stephane pitti, luna silva, yuming hey, suzanne rault balet, philypa phoenix, lena lapres, waly dia, aurelia petit, lionel lingelser, fabien ducommun",france,2019,tv ma,1,"international tv shows, tv dramas, tv mysteries","in near future paris, two brilliant siblings unveil a high tech implant designed to pair up soul mates. but the beta test yields unwelcome surprises.",1
3965,0,santa clarita diet,nan,"drew barrymore, timothy olyphant, liv hewson, skyler gisondo",united states,2019,tv ma,3,"tv comedies, tv horror, tv thrillers",they re ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. in a good way.,2
3966,1,the highwaymen,john lee hancock,"kevin costner, woody harrelson, kathy bates, john carroll lynch, thomas mann, kim dickens, w. earl brown, william sadler",united states,2019,r,132,dramas,two steely former texas rangers are tasked with tracking and killing infamous criminals bonnie and clyde in this crime drama based on real events.,2
3967,1,the legend of cocaine island,theo love,nan,united states,2019,tv ma,87,documentaries,an urban legend about a duffel bag of cocaine buried in the caribbean leads a misfit band to hatch a nutball plan to find it in this comic documentary.,2
3968,0,the terminal,nan,"mohammad mansour, bouthayna al raesi, bassima hamada, ahlaam muhammed, shaimaa ali, foaz al shatti, abdullah bahman, abdulmohsen al qaffas, mohammed al dosari",nan,2018,tv 14,1,"international tv shows, tv dramas","social pressure, a complicated past and a clash of values beset the life of a businessman and his family.",1
3969,0,traitors,nan,"emma appleton, michael stuhlbarg, luke treadaway, keeley hawes, brandon p. bell, matt lauria, jamie blackley, david hargreaves, sam hoare, simon kunz, greg mchugh, stephen campbell moore, cara horgan",united kingdom,2019,tv ma,1,"british tv shows, international tv shows, tv dramas","as world war ii ends, a young english woman agrees to help an enigmatic american agent root out russian infiltration of the british government.",2
3970,0,versailles,nan,"george blagden, alexander vlahos, tygh runyan, stuart bowman, evan williams, elisa lasowski, joe sheridan, steve cumyn, anna brewster, maddison jaizani, pip torrens, catherine walker, lizzie brochere, geoffrey bateman","france, canada",2018,tv ma,3,"international tv shows, tv dramas",king louis xiv of france commissions a lavish palace that becomes a fierce battleground for love and politics and a gilded prison for nobility.,2
3971,0,ainori love wagon asian journey,nan,"becky, audrey, mayuko kawakita, shimon okura",japan,2018,tv ma,2,"international tv shows, reality tv, romantic tv shows","seven men and women board a pink bus in search of true love. on a journey through asia with strangers, their goal is to return to japan as a couple.",1
3972,1,danur i can see ghosts,awi suryadi,"prilly latuconsina, sandrinna michelle, shareefa daanish, indra brotolaras, kinaryosih, inggrid widjanarko, asha kenyeri bermudez, wesley andrew, kevin bzezovski taroreh, gamaharitz",indonesia,2017,tv ma,75,"horror movies, international movies","adapted from a best selling novel, this horror film shows risa befriending ghosts until an evil spirit tries to take her sister to the other side.",1
